,agent_call_AT,agent_call_flop,agent_call_top_pair,agent_raise_AT,agent_raise_aggressive,background_agent_v1,background_agent_v2,player_call,player_raise,player_random
,979,942,956,964,964,0,3340,957,898,0
,948,960,978,964,963,0,2079,870,1212,0
,973,960,993,964,964,1966,0,1024,1041,0
,961,947,955,965,967,0,2023,950,1061,0
,954,964,956,964,964,0,2284,1039,868,0
,979,948,960,967,967,0,2113,1009,977,1080
,971,947,947,967,967,1322,1966,961,952,0
,946,954,962,963,966,0,0,988,1068,2161
,978,954,977,967,967,1354,1991,888,924,0
,965,951,965,964,967,0,3154,927,1083,0
,943,935,972,964,964,0,3101,994,1127,0
,992,947,999,967,967,1928,0,1192,876,0
,1022,976,955,964,964,0,0,1032,886,3201
,992,954,954,964,964,0,0,860,1045,3267
,1009,977,956,967,967,966,2275,902,977,0
,947,981,978,967,967,0,923,1172,886,2179
,983,960,964,962,964,0,0,880,1064,2192
,957,975,959,964,964,0,3083,870,1228,0
,955,975,958,964,964,0,2224,1098,894,0
,963,963,973,964,964,0,3014,1070,1089,0
,944,929,963,967,964,0,0,952,1098,3166
,986,962,965,964,964,0,3366,880,890,0
,988,944,958,964,967,0,2080,1005,886,0
,955,980,953,966,965,0,2625,909,1130,0
,959,942,985,962,963,0,2129,1128,908,0
,981,984,992,964,964,3009,0,1230,876,0
,964,981,990,967,970,994,2171,892,1022,0
,956,940,960,964,964,0,0,924,1098,3184
,953,966,958,967,969,2028,900,1076,1055,0
,981,1001,988,964,963,0,0,858,1069,2149
,1014,980,948,964,967,0,2561,870,904,0
,961,999,962,961,964,0,0,892,1043,3186
,957,955,962,963,962,2353,0,927,942,0
,960,952,999,964,964,0,2302,949,977,0
,939,981,968,967,965,1984,0,933,1145,0
,946,1006,978,970,967,966,2254,876,1037,0
,981,966,962,967,964,0,0,968,953,3239
,967,976,983,964,964,0,0,872,1063,3211
,965,996,966,967,964,2439,0,866,870,0
,967,941,969,964,967,2085,0,892,1094,0
,985,991,973,964,964,0,3104,836,1183,0
,980,1003,966,964,964,0,2183,894,992,0
,976,1012,980,964,967,0,2019,1027,981,0
,960,963,984,965,967,0,2128,894,1092,0
,949,983,951,965,964,0,3036,954,1186,0
,965,954,954,965,966,3289,0,866,1041,0
,965,963,983,967,967,2042,1012,1228,873,0
,978,964,954,967,967,2013,1055,945,1137,0
,954,968,982,967,967,0,1974,1051,1036,0
,955,965,959,965,966,2138,0,898,1072,0
,1009,969,951,964,964,2012,0,1119,952,0
,965,946,949,967,967,3180,0,888,1121,0
,969,944,963,964,964,0,0,1084,938,2159
,962,964,1003,966,967,2030,1047,892,1167,0
,952,956,980,964,964,0,2011,1227,899,0
,969,1025,989,964,967,0,2271,888,844,0
,964,937,988,967,966,3118,0,888,1172,0
,962,954,958,967,967,2134,990,1053,1012,0
,951,950,958,964,962,2205,0,1073,888,0
,953,954,942,964,964,3111,0,983,1083,0
,970,946,957,967,967,1981,1301,888,968,0
,977,960,953,964,964,2219,0,890,996,0
,961,989,1006,964,964,1990,0,1173,906,0
,948,991,956,964,964,1981,0,1140,978,0
,945,958,974,966,967,0,0,877,1047,2410
,1022,960,967,968,967,1068,0,931,969,2148
,951,1004,966,964,966,1962,0,929,1200,0
,976,959,992,967,965,3093,0,910,1065,0
,956,951,963,964,964,0,0,1056,921,2337
,1002,964,992,967,967,1156,2023,999,886,0
,945,961,965,967,965,3055,0,969,1101,0
,943,1008,1001,967,967,2105,0,868,1107,0
,986,966,960,967,967,3145,0,913,1059,0
,974,971,959,964,964,0,0,864,1041,3263
,956,959,969,964,967,2575,0,890,921,0
,951,945,972,964,964,3198,0,968,1038,0
,956,972,961,965,964,0,1940,1192,941,0
,951,961,967,964,963,0,2150,973,1061,0
,959,946,961,967,967,1048,2033,1022,1057,0
,986,951,973,967,967,3266,0,884,1006,0
,996,951,970,964,964,1952,0,888,1260,0
,989,947,977,965,967,988,2130,882,1128,0
,957,965,965,964,962,0,0,1129,856,3202
,971,979,962,967,967,2232,1092,856,974,0
,941,978,964,964,965,0,0,1001,1003,2237
,1021,959,962,967,964,0,2015,1159,878,0
,960,960,952,966,964,3215,0,992,991,0
,951,970,1011,969,968,1945,0,911,1011,1216
,957,992,970,966,965,0,2404,886,926,0
,963,959,955,967,969,2339,0,981,860,0
,949,976,959,964,964,3038,0,1013,988,0
,940,952,957,967,967,0,2678,920,1067,0
,954,934,983,965,966,0,0,913,1057,3228
,983,981,971,965,967,1067,2156,964,946,0
,1036,962,954,964,964,2049,0,956,1083,0
,949,976,963,970,968,1181,2090,986,874,0
,982,951,952,967,964,1975,0,986,1030,0
,953,992,965,967,967,1961,0,832,1097,1222
,982,959,964,964,967,0,3084,1155,892,0
,986,961,989,964,964,0,3056,1200,880,0
,973,962,980,964,964,2077,0,954,1064,0
,1000,947,960,964,964,0,0,894,1054,2226
,945,976,970,964,963,2259,0,949,968,0
,970,984,956,964,964,0,3060,1049,1053,0
,973,928,964,964,964,0,2197,1038,956,0
,977,971,963,964,965,2094,0,1042,985,0
,993,962,957,969,967,0,3048,1093,950,0
,965,962,998,964,964,0,2442,874,864,0
,956,972,956,967,967,2193,1070,890,999,0
,948,950,978,965,967,3336,0,892,936,0
,983,956,988,969,968,2070,1025,1043,888,0
,983,992,962,967,965,1255,1334,1109,916,0
,943,944,956,964,967,3199,0,1073,954,0
,957,1012,965,967,967,0,3348,866,872,0
,1001,967,982,966,964,2086,0,882,1080,0
,946,990,960,964,964,2338,0,874,882,0
,954,963,946,964,964,0,1987,954,1215,0
,959,954,979,967,967,0,1930,958,1083,0
,944,992,954,964,964,0,0,985,880,3316
,925,958,954,964,964,0,2340,990,948,0
,962,953,987,964,966,0,2212,1057,896,0
,983,972,968,964,964,0,0,925,970,2185
,967,971,951,965,967,2196,0,940,1004,0
,991,962,966,967,967,0,3267,1010,854,0
,935,945,976,965,966,0,3283,1046,884,0
,963,958,967,968,967,951,0,990,1054,2182
,972,997,962,964,965,0,0,888,1112,2182
,959,1006,959,967,967,0,3246,1009,872,0
